iter	Passed	Remaining
0	273	136359
1	546	135983
2	789	130775
3	1035	128412
4	1295	128205
5	1547	127451
6	1804	127102
7	2055	126384
8	2315	126297
9	2571	126002
10	2826	125665
11	3090	125680
12	3355	125711
13	3614	125489
14	3870	125151
15	4123	124749
16	4379	124430
17	4628	123936
18	4886	123715
19	5130	123121
20	5400	123190
21	5648	122716
22	5903	122425
23	6162	122230
24	6427	122123
25	6680	121791
26	6914	121123
27	7171	120897
28	7424	120590
29	7667	120126
30	7910	119685
31	8155	119280
32	8419	119147
33	8680	118972
34	8925	118581
35	9178	118299
36	9438	118110
37	9680	117689
38	9933	117422
39	10178	117052
40	10443	116920
41	10701	116692
42	10967	116562
43	11221	116300
44	11481	116087
45	11709	115566
46	11971	115384
47	12208	114959
48	12464	114719
49	12699	114291
50	12952	114032
51	13210	113810
52	13452	113461
53	13696	113126
54	13966	113000
55	14233	112854
56	14494	112652
57	14751	112419
58	15001	112129
59	15217	111595
60	15480	111407
61	15741	111206
62	15984	110879
63	16223	110524
64	16482	110304
65	16761	110222
66	17015	109963
67	17275	109752
68	17544	109588
69	17809	109400
70	18067	109166
71	18330	108965
72	18586	108715
73	18843	108475
74	19093	108197
75	19358	108001
76	19607	107711
77	19835	107317
78	20087	107046
79	20347	106826
80	20590	106513
81	20851	106290
82	21097	105995
83	21360	105787
84	21613	105526
85	21868	105275
86	22127	105042
87	22390	104830
88	22653	104613
89	22908	104358
90	23159	104089
91	23416	103848
92	23669	103584
93	23944	103418
94	24198	103163
95	24442	102862
96	24705	102640
97	24963	102402
98	25227	102183
99	25484	101936
100	25745	101707
101	26002	101460
102	26257	101205
103	26517	100969
104	26771	100710
105	27022	100443
106	27287	100222
107	27550	99996
108	27815	99779
109	28049	99448
110	28299	99176
111	28546	98892
112	28806	98655
113	29072	98438
114	29341	98230
115	29592	97962
116	29857	97737
117	30112	97483
118	30366	97225
119	30607	96924
120	30872	96700
121	31127	96443
122	31373	96160
123	31615	95865
124	31861	95585
125	32114	95325
126	32370	95071
127	32643	94871
128	32915	94663
129	33172	94414
130	33416	94127
131	33651	93817
132	33914	93584
133	34176	93346
