iter	Passed	Remaining
0	99	49523
1	200	49867
2	306	50726
3	404	50133
4	501	49607
5	588	48420
6	682	48091
7	773	47592
8	872	47593
9	944	46262
10	1037	46114
11	1125	45783
12	1212	45417
13	1309	45471
14	1405	45449
15	1499	45356
16	1591	45213
17	1678	44957
18	1765	44683
19	1870	44886
20	1967	44873
21	2068	44933
22	2143	44460
23	2237	44382
24	2323	44143
25	2415	44040
26	2518	44120
27	2613	44061
28	2708	43986
29	2813	44070
30	2906	43969
31	2992	43771
32	3084	43649
33	3189	43721
34	3275	43516
35	3381	43584
36	3481	43567
37	3584	43583
38	3675	43450
39	3772	43381
40	3871	43338
41	3960	43192
42	4052	43066
43	4144	42953
44	4233	42806
45	4328	42719
46	4422	42623
47	4510	42469
48	4615	42484
49	4712	42409
50	4820	42435
51	4909	42299
52	5004	42210
53	5108	42190
54	5185	41959
55	5274	41819
56	5366	41709
57	5457	41588
58	5562	41574
59	5658	41498
60	5754	41412
61	5859	41392
62	5949	41269
63	6053	41238
64	6136	41065
65	6225	40940
66	6325	40878
67	6419	40783
68	6525	40758
69	6616	40641
70	6716	40580
71	6820	40543
72	6925	40511
73	7007	40341
74	7102	40249
75	7196	40146
76	7287	40033
77	7389	39980
78	7491	39923
79	7591	39856
80	7696	39812
81	7795	39739
82	7899	39686
83	7997	39605
84	8101	39554
85	8198	39465
86	8297	39391
87	8398	39319
88	8502	39265
89	8612	39234
90	8712	39160
91	8820	39116
92	8917	39024
93	9022	38969
94	9120	38883
95	9228	38836
96	9322	38732
97	9428	38676
98	9528	38593
99	9616	38466
100	9708	38354
101	9814	38297
102	9914	38214
103	10013	38129
104	10105	38016
105	10216	37976
106	10297	37820
107	10396	37736
108	10484	37610
109	10585	37531
110	10691	37467
111	10815	37466
112	10922	37407
113	11024	37328
114	11127	37251
115	11229	37174
116	11317	37049
117	11398	36900
118	11485	36772
119	11592	36710
120	11673	36562
121	11788	36524
122	11896	36463
123	11995	36372
124	12080	36242
125	12169	36123
126	12255	35995
127	12347	35884
128	12435	35763
129	12536	35679
130	12627	35570
131	12734	35501
132	12837	35424
133	12929	35315
134	13031	35233
135	13137	35160
136	13229	35053
137	13327	34961
138	13417	34846
139	13505	34729
140	13613	34660
141	13702	34545
142	13819	34499
143	13929	34437
144	14010	34302
145	14114	34222
146	14205	34113
147	14310	34036
148	14403	33929
149	14499	33832
150	14597	33739
151	14694	33643
152	14797	33559
153	14902	33481
154	15011	33412
155	15100	33297
156	15196	33200
157	15294	33105
158	15401	33030
159	15508	32956
160	15602	32851
161	15684	32724
162	15793	32651
163	15894	32564
164	15976	32437
165	16069	32332
166	16171	32245
167	16274	32161
168	16377	32077
169	16474	31980
170	16566	31873
171	16656	31763
172	16747	31656
173	16859	31588
174	16964	31506
175	17054	31396
176	17160	31315
177	17259	31222
178	17351	31117
179	17455	31031
180	17555	30941
181	17653	30844
182	17749	30746
183	17859	30672
184	17952	30567
185	18053	30478
186	18160	30397
187	18256	30297
188	18340	30179
189	18436	30080
190	18539	29992
191	18617	29865
192	18695	29737
193	18780	29623
194	18861	29501
195	18938	29374
196	19015	29247
197	19092	29120
198	19171	28997
199	19249	28873
200	19325	28747
201	19401	28622
202	19479	28499
203	19556	28375
204	19633	28252
205	19711	28132
206	19797	28021
207	19882	27911
208	19965	27798
209	20049	27687
210	20131	27573
211	20224	27475
212	20317	27376
213	20411	27278
214	20504	27180
215	20591	27073
216	20678	26967
217	20780	26880
218	20865	26773
219	20947	26660
