iter	Passed	Remaining
0	102	51218
1	215	53687
2	316	52423
3	409	50736
4	506	50186
5	600	49404
6	702	49494
7	803	49397
8	895	48837
9	991	48566
10	1088	48372
11	1188	48315
12	1284	48129
13	1373	47678
14	1464	47346
15	1548	46835
16	1639	46584
17	1721	46109
18	1803	45655
19	1886	45275
20	1975	45053
21	2070	44995
22	2161	44834
23	2247	44571
24	2332	44309
25	2424	44204
26	2511	43996
27	2605	43918
28	2697	43815
29	2788	43690
30	2890	43737
31	2986	43677
32	3075	43526
33	3170	43447
34	3267	43407
35	3360	43307
36	3440	43058
37	3532	42944
38	3614	42724
39	3707	42631
40	3799	42539
41	3879	42310
42	3969	42183
43	4064	42122
44	4168	42144
45	4249	41940
46	4352	41953
47	4440	41813
48	4525	41651
49	4625	41629
50	4709	41465
51	4807	41419
52	4903	41360
53	4996	41268
54	5082	41122
55	5174	41028
56	5262	40903
57	5358	40834
58	5445	40703
59	5536	40598
60	5617	40429
61	5705	40307
62	5790	40168
63	5888	40113
64	5977	40004
65	6064	39875
66	6161	39821
67	6257	39751
68	6349	39661
69	6437	39545
70	6531	39467
71	6624	39376
72	6719	39302
73	6811	39212
74	6902	39113
75	6987	38983
76	7090	38949
77	7171	38800
78	7255	38667
79	7342	38549
80	7440	38486
81	7520	38334
82	7619	38280
83	7696	38115
84	7798	38076
85	7886	37963
86	7965	37810
87	8058	37729
88	8166	37712
89	8253	37600
90	8346	37515
91	8431	37392
92	8528	37322
93	8625	37254
94	8716	37160
95	8808	37070
96	8906	37004
97	8983	36849
98	9069	36734
99	9175	36702
100	9254	36558
101	9350	36484
102	9428	36339
103	9514	36227
104	9604	36131
105	9706	36077
106	9782	35931
107	9874	35840
108	9970	35766
109	10062	35676
110	10173	35653
111	10274	35592
112	10367	35506
113	10458	35410
114	10555	35337
115	10649	35252
116	10747	35183
117	10834	35075
118	10919	34961
119	11004	34848
120	11100	34769
121	11201	34706
122	11300	34635
123	11391	34543
124	11482	34448
125	11580	34375
126	11658	34240
127	11742	34127
128	11824	34006
129	11926	33944
130	12029	33885
131	12122	33797
132	12221	33722
133	12323	33659
134	12431	33611
135	12523	33518
136	12624	33450
137	12725	33382
138	12826	33313
139	12927	33240
140	13004	33110
141	13097	33020
142	13196	32945
143	13277	32824
144	13375	32747
145	13458	32632
146	13540	32515
147	13622	32398
148	13702	32279
149	13787	32170
150	13871	32059
151	13970	31985
152	14059	31886
153	14143	31776
154	14235	31685
155	14318	31573
156	14416	31494
157	14486	31356
158	14591	31293
159	14691	31219
160	14793	31150
161	14884	31055
162	14986	30983
163	15089	30914
164	15196	30854
165	15290	30766
166	15389	30686
167	15478	30588
168	15561	30477
169	15647	30374
170	15743	30289
171	15825	30179
172	15905	30064
173	15991	29961
174	16083	29869
175	16188	29800
176	16289	29725
177	16374	29620
178	16464	29524
179	16558	29437
180	16647	29340
181	16753	29272
182	16835	29162
183	16920	29059
184	17003	28952
185	17088	28848
186	17177	28751
187	17259	28644
