iter	Passed	Remaining
0	287	143703
1	570	141957
2	837	138827
3	1129	140065
4	1408	139479
5	1689	139077
6	1957	137844
7	2258	138898
8	2538	138474
9	2818	138126
10	3097	137688
11	3379	137437
12	3645	136568
13	3923	136213
14	4210	136126
15	4475	135397
16	4734	134516
17	4996	133794
18	5230	132416
19	5489	131741
20	5752	131204
21	6003	130442
22	6247	129575
23	6488	128680
24	6743	128118
25	6987	127381
26	7247	126958
27	7509	126590
28	7762	126067
29	8015	125582
30	8274	125181
31	8513	124507
32	8753	123877
33	9002	123381
34	9244	122824
35	9496	122392
36	9766	122213
37	10027	121910
38	10265	121347
39	10520	120983
40	10771	120592
41	11032	120304
42	11299	120094
43	11538	119583
44	11790	119216
45	12045	118883
46	12315	118701
47	12580	118464
48	12864	118401
49	13130	118171
50	13429	118228
51	13683	117885
52	13953	117680
53	14205	117329
54	14438	116819
55	14704	116585
56	14961	116281
57	15242	116160
58	15501	115868
59	15750	115503
60	15987	115054
61	16264	114901
62	16523	114617
63	16800	114450
64	17075	114271
65	17350	114089
66	17609	113805
67	17864	113490
68	18109	113116
69	18342	112675
70	18613	112467
71	18871	112178
72	19130	111902
73	19396	111663
74	19671	111472
75	19941	111252
76	20225	111110
77	20499	110905
78	20752	110590
79	21011	110307
80	21283	110094
81	21559	109900
82	21810	109575
83	22092	109410
84	22368	109211
85	22617	108879
86	22868	108560
87	23124	108267
88	23379	107966
89	23618	107597
90	23875	107308
91	24126	106995
92	24387	106728
93	24647	106458
94	24897	106143
95	25143	105811
96	25394	105505
97	25623	105108
98	25894	104884
99	26146	104584
100	26421	104376
101	26693	104156
102	26963	103927
103	27240	103724
104	27557	103669
105	27878	103622
106	28167	103455
107	28450	103264
108	28722	103032
109	28971	102716
110	29260	102544
111	29547	102361
112	29798	102054
113	30036	101702
114	30289	101404
115	30557	101155
116	30825	100908
117	31090	100649
118	31367	100428
119	31631	100166
120	31896	99908
121	32132	99557
122	32381	99251
123	32641	98978
124	32890	98670
125	33159	98426
126	33421	98160
127	33689	97909
128	33942	97617
129	34184	97294
130	34447	97031
131	34690	96714
132	34933	96394
133	35193	96126
134	35427	95784
135	35682	95503
136	35959	95278
137	36233	95046
138	36485	94758
139	36727	94443
140	37014	94242
141	37263	93946
142	37529	93691
143	37784	93411
144	38058	93177
145	38325	92926
146	38579	92643
147	38837	92370
148	39104	92118
149	39359	91838
150	39612	91553
151	39863	91266
152	40126	91006
153	40382	90730
154	40640	90458
155	40897	90183
156	41163	89931
157	41449	89719
158	41748	89535
159	42047	89351
160	42313	89094
161	42580	88841
162	42848	88588
163	43107	88317
164	43386	88088
165	43668	87862
166	43947	87632
167	44218	87384
168	44496	87150
169	44768	86903
170	45035	86646
171	45308	86402
172	45587	86168
173	45849	85902
174	46114	85641
175	46390	85399
176	46656	85141
177	46939	84912
178	47196	84636
179	47465	84382
180	47730	84121
181	47996	83862
182	48272	83619
183	48555	83388
184	48834	83150
185	49059	82820
186	49345	82594
187	49614	82338
188	49867	82057
189	50117	81770
190	50362	81475
191	50630	81219
192	50893	80954
193	51163	80700
194	51449	80472
195	51736	80244
196	52006	79989
197	52284	79747
198	52515	79433
199	52783	79175
200	53031	78887
201	53265	78580
202	53510	78288
203	53758	78002
204	54020	77736
205	54266	77448
206	54532	77188
207	54770	76889
208	55003	76584
209	55247	76293
210	55507	76026
211	55766	75757
212	56027	75492
213	56286	75223
214	56543	74952
215	56793	74673
216	57051	74403
217	57298	74119
218	57546	73838
219	57812	73580
220	58058	73295
221	58295	73001
222	58536	72710
223	58778	72423
224	59006	72119
225	59263	71850
226	59509	71568
227	59760	71293
228	60016	71023
229	60275	70758
230	60521	70477
231	60763	70192
232	61025	69931
233	61272	69651
