iter	Passed	Remaining
0	280	140063
1	553	137803
2	808	133920
3	1065	132156
4	1322	130934
5	1564	128803
6	1824	128485
7	2101	129252
8	2360	128796
9	2621	128429
10	2870	127599
11	3128	127238
12	3370	126249
13	3629	125980
14	3892	125843
15	4137	125151
16	4383	124555
17	4635	124136
18	4882	123593
19	5123	122965
20	5373	122565
21	5625	122231
22	5881	121978
23	6132	121637
24	6391	121435
25	6639	121047
26	6881	120561
27	7142	120398
28	7392	120062
29	7628	119505
30	7882	119250
31	8132	118941
32	8399	118872
33	8651	118579
34	8908	118350
35	9160	118074
36	9409	117746
37	9643	117241
38	9884	116834
39	10139	116606
40	10395	116378
41	10650	116140
42	10909	115945
43	11173	115802
44	11410	115371
45	11658	115068
46	11919	114886
47	12177	114667
48	12424	114355
49	12667	114005
50	12905	113619
51	13167	113443
52	13416	113151
53	13671	112916
54	13929	112700
55	14167	112324
56	14420	112075
57	14657	111701
58	14938	111661
59	15200	111469
60	15460	111264
61	15708	110975
62	15964	110741
63	16222	110516
64	16473	110247
65	16728	110002
66	16991	109808
67	17249	109583
68	17498	109303
69	17733	108934
70	17989	108699
71	18243	108447
72	18491	108162
73	18734	107849
74	18962	107455
75	19214	107196
76	19461	106911
77	19686	106511
78	19938	106255
79	20202	106064
80	20459	105832
81	20713	105586
82	20959	105302
83	21222	105104
84	21485	104898
85	21713	104526
86	21959	104245
87	22216	104013
88	22474	103787
89	22747	103625
90	22994	103349
91	23243	103080
92	23487	102790
93	23742	102546
94	23994	102292
95	24228	101963
96	24473	101680
97	24724	101422
98	24987	101211
99	25239	100957
100	25484	100676
101	25739	100434
102	25998	100207
103	26216	99823
104	26462	99549
105	26697	99233
106	26960	99021
107	27207	98752
108	27473	98551
109	27731	98319
110	27976	98042
111	28240	97834
112	28492	97581
113	28749	97345
114	29006	97109
115	29262	96870
116	29509	96598
117	29763	96353
118	30019	96111
119	30260	95826
120	30510	95564
121	30766	95326
122	31022	95084
123	31273	94828
124	31509	94529
125	31766	94291
126	32011	94018
127	32266	93775
128	32519	93525
129	32791	93330
130	33053	93103
131	33308	92860
132	33567	92626
133	33820	92376
134	34079	92140
135	34305	91817
136	34562	91577
137	34828	91362
138	35079	91105
139	35297	90763
140	35553	90523
141	35793	90239
142	36033	89958
143	36297	89736
144	36547	89477
145	36789	89202
146	37039	88945
147	37288	88687
148	37546	88448
149	37807	88218
150	38064	87976
151	38326	87746
152	38589	87520
153	38837	87258
154	39097	87022
155	39351	86776
156	39607	86530
157	39895	86355
158	40178	86169
159	40467	85993
160	40737	85775
161	40984	85510
162	41244	85272
163	41507	85040
164	41757	84781
165	42000	84506
166	42247	84241
167	42494	83978
168	42749	83727
169	43010	83491
170	43311	83329
171	43617	83176
172	43881	82943
173	44149	82717
174	44393	82444
175	44668	82230
176	44980	82082
177	45266	81885
178	45556	81696
179	45835	81485
180	46120	81285
181	46418	81104
182	46749	80981
183	47030	80769
184	47332	80593
185	47603	80363
186	47880	80142
187	48158	79922
188	48441	79711
189	48714	79482
190	48976	79234
191	49255	79013
192	49518	78767
193	49773	78509
194	50032	78256
195	50288	77999
196	50546	77744
197	50803	77487
198	51055	77225
199	51326	76990
200	51587	76739
201	51850	76492
202	52100	76226
203	52357	75969
204	52624	75727
205	52887	75479
206	53142	75221
207	53405	74973
208	53664	74719
209	53953	74507
210	54235	74284
211	54489	74023
212	54745	73765
213	54988	73489
214	55239	73224
215	55485	72953
216	55749	72705
217	56011	72455
218	56278	72210
219	56521	71936
220	56777	71678
221	57037	71425
222	57296	71171
223	57540	70898
224	57804	70649
225	58053	70383
226	58304	70119
227	58559	69860
228	58805	69590
229	59054	69324
230	59318	69076
231	59603	68852
232	59886	68625
233	60159	68386
234	60436	68151
235	60709	67912
236	60998	67689
237	61248	67425
238	61520	67183
239	61802	66952
240	62040	66674
241	62291	66409
242	62554	66157
243	62823	65913
244	63087	65662
245	63377	65438
246	63623	65168
247	63902	64932
248	64138	64654
249	64384	64384
250	64646	64131
251	64907	63876
252	65143	63598
253	65397	63338
254	65659	63084
255	65919	62829
256	66208	62601
257	66508	62383
258	66790	62148
259	67073	61914
260	67364	61685
261	67646	61449
262	67947	61230
263	68199	60966
264	68457	60707
265	68721	60454
266	69013	60225
267	69287	59980
268	69565	59738
269	69820	59476
270	70080	59219
271	70358	58976
272	70620	58721
273	70885	58467
274	71150	58214
275	71416	57961
276	71690	57714
277	71949	57455
278	72211	57200
279	72464	56936
280	72706	56664
281	72980	56417
282	73253	56169
283	73510	55909
284	73774	55654
285	74046	55405
286	74314	55153
287	74574	54895
288	74830	54634
289	75086	54372
290	75358	54123
291	75623	53868
292	75893	53617
293	76174	53373
294	76445	53123
295	76705	52864
296	76957	52600
297	77215	52340
298	77488	52091
299	77741	51827
300	77991	51562
301	78238	51295
302	78479	51024
303	78735	50763
304	78981	50496
305	79243	50239
306	79512	49986
307	79763	49722
308	80046	49478
309	80298	49215
310	80558	48956
311	80808	48692
312	81079	48440
313	81334	48179
314	81605	47926
315	81872	47672
316	82147	47422
317	82406	47163
318	82674	46909
319	82940	46654
320	83189	46389
321	83417	46112
322	83678	45854
323	83938	45596
324	84205	45341
325	84472	45086
326	84751	44837
327	85006	44576
328	85277	44323
329	85550	44071
330	85824	43819
331	86077	43557
