iter	Logloss
0	0.5722289025
1	0.4894048296
2	0.4281963225
3	0.3849587063
4	0.3507498663
5	0.3257540519
6	0.3042017134
7	0.2879456968
8	0.2750865525
9	0.2657769177
10	0.2581989353
11	0.2490673955
12	0.2419026336
13	0.2359740497
14	0.231293276
15	0.2253988983
16	0.2218555478
17	0.2185071175
18	0.2153840978
19	0.211646381
20	0.2083768731
21	0.2065957294
22	0.2039507171
23	0.2021034866
24	0.1997052451
25	0.1975392083
26	0.1959883668
27	0.1944085936
28	0.1928609495
29	0.1916550542
30	0.1902230283
31	0.1888281208
32	0.1871537896
33	0.1857887441
34	0.1846453572
35	0.1837847384
36	0.1827661808
37	0.1818773903
38	0.1809260148
39	0.1795603
40	0.1782811923
41	0.1771614637
42	0.1759879092
43	0.1752278544
44	0.1745483467
45	0.1734247826
46	0.172172607
47	0.1713965596
48	0.1704378105
49	0.1695215341
50	0.1690508871
51	0.1682311503
52	0.1674792191
53	0.1664502411
54	0.1655486824
55	0.164311645
56	0.1635019626
57	0.1629402012
58	0.162172201
59	0.1613303053
60	0.1603236594
61	0.1598545586
62	0.1591006628
63	0.1585222487
64	0.1578707363
65	0.157125703
66	0.1563881745
67	0.1556595026
68	0.1551033663
69	0.1547475218
70	0.1539574867
71	0.1531836636
72	0.1526804533
73	0.1522571143
74	0.1520122393
75	0.1514023679
76	0.1504966216
77	0.1499579782
78	0.1494078838
79	0.148686268
80	0.1480924221
81	0.1476774012
82	0.1472672373
83	0.1467489092
84	0.1461885844
85	0.1458016801
86	0.1452132124
87	0.1446874759
88	0.1444612818
89	0.1438594188
90	0.1431802212
91	0.1428699646
92	0.1425667405
93	0.1420909375
94	0.1416963295
95	0.1414973165
96	0.1411626391
97	0.1406342196
98	0.1402194099
99	0.1398227195
100	0.1392278681
101	0.138805704
102	0.1383674859
103	0.1381806315
104	0.1377599172
105	0.1375897421
106	0.1371958777
107	0.1367073287
108	0.1362988303
109	0.1359215957
110	0.1354037044
111	0.1350710335
112	0.134770423
113	0.1343967895
114	0.134133311
115	0.1338614477
116	0.1334850073
117	0.1331008687
118	0.132687773
119	0.1321409838
120	0.1316607136
121	0.13127687
122	0.1309355547
123	0.130535507
124	0.1303133288
125	0.1299091833
126	0.1296371102
127	0.1291031165
128	0.1287044832
129	0.1283085165
130	0.1279337092
131	0.1276227809
132	0.1273010166
133	0.1270535224
